SYMBOL_NAME,Description,Sector,ISIN,SECURITY_ID,Status,UNDERLYING_SYMBOL,EXCHANGE,SEGMENT,INSTRUMENT_TYPE,SERIES,LOT_SIZE
RELIANCE,Reliance Industries Limited,Energy minerals,INE002A01018,2885.0,MATCHED,RELIANCE,BSE,E,EQUITY,A,1.0
HDFCBANK,HDFC Bank Limited,Finance,INE040A01034,1333.0,MATCHED,HDFCBANK,BSE,E,EQUITY,A,1.0
BHARTIARTL,Bharti Airtel Limited,Communications,INE397D01024,10604.0,MATCHED,BHARTIARTL,BSE,E,EQUITY,A,1.0
TCS,Tata Consultancy Services Limited,Technology services,INE467B01029,11536.0,MATCHED,TCS,BSE,E,EQUITY,A,1.0
ICICIBANK,ICICI Bank Limited,Finance,INE090A01021,4963.0,MATCHED,ICICIBANK,BSE,E,EQUITY,A,1.0
SBIN,State Bank of India,Finance,INE062A01020,3045.0,MATCHED,SBIN,BSE,E,EQUITY,A,1.0
BAJFINANCE,Bajaj Finance Limited,Finance,INE296A01032,317.0,MATCHED,BAJFINANCE,BSE,E,EQUITY,A,1.0
HINDUNILVR,Hindustan Unilever Limited,Consumer non-durables,INE030A01027,1394.0,MATCHED,HINDUNILVR,BSE,E,EQUITY,A,1.0
INFY,Infosys Limited,Technology services,INE009A01021,1594.0,MATCHED,INFY,BSE,E,EQUITY,A,1.0
LICI,Life Insurance Corp. of India,Finance,INE0J1Y01017,9480.0,MATCHED,LICI,BSE,E,EQUITY,A,1.0
LT,Larsen & Toubro Limited,Industrial services,INE018A01030,11483.0,MATCHED,LT,BSE,E,EQUITY,A,1.0
ITC,ITC Limited,Consumer non-durables,INE154A01025,1660.0,MATCHED,ITC,BSE,E,EQUITY,A,1.0
MARUTI,Maruti Suzuki India Limited,Consumer durables,INE585B01010,10999.0,MATCHED,MARUTI,BSE,E,EQUITY,A,1.0
M&M,Mahindra & Mahindra Ltd.,Consumer durables,INE101A01026,2031.0,MATCHED,M&M,BSE,E,EQUITY,A,1.0
KOTAKBANK,Kotak Mahindra Bank Limited,Finance,INE237A01028,1922.0,MATCHED,KOTAKBANK,BSE,E,EQUITY,A,1.0
HCLTECH,HCL Technologies Limited,Technology services,INE860A01027,7229.0,MATCHED,HCLTECH,BSE,E,EQUITY,A,1.0
SUNPHARMA,Sun Pharmaceutical Industries Limited,Health technology,INE044A01036,3351.0,MATCHED,SUNPHARMA,BSE,E,EQUITY,A,1.0
AXISBANK,Axis Bank Limited,Finance,INE238A01034,5900.0,MATCHED,AXISBANK,BSE,E,EQUITY,A,1.0
ULTRACEMCO,UltraTech Cement Limited,Non-energy minerals,INE481G01011,11532.0,MATCHED,ULTRACEMCO,BSE,E,EQUITY,A,1.0
BAJAJFINSV,Bajaj Finserv Limited,Finance,INE918I01026,16675.0,MATCHED,BAJAJFINSV,BSE,E,EQUITY,A,1.0
ETERNAL,Eternal Limited,Technology services,INE758T01015,5097.0,MATCHED,ETERNAL,BSE,E,EQUITY,A,1.0
NTPC,NTPC Limited,Utilities,INE733E01010,11630.0,MATCHED,NTPC,BSE,E,EQUITY,A,1.0
HAL,Hindustan Aeronautics Limited,Electronic technology,INE066F01020,2303.0,MATCHED,HAL,BSE,E,EQUITY,A,1.0
TITAN,Titan Company Limited,Consumer durables,INE280A01028,3506.0,MATCHED,TITAN,BSE,E,EQUITY,A,1.0
